Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Austria,501 - 1500,Financial Services,Business,dataspot.,dataspot.,dataspot. 3.2.5.,,Extensibility of the solution,Openness,Innovative strength of the vendor,,Local presence and good support,,,Good price-performance ratio,,,Ease of use for business users,,,Integration into existing IT operations,,,Reusability/metadata-driven development,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,Range of available functions,Quality of functions,,,950,10,5,2,In one division,,,,Data Governance,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,Lack of use cases/quick-win scenarios,,,,,,,,,,,,,,,,,,,,,,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Very satisfied,Definitely,Predominantly based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,Data culture,Business user enablement,Slightly increased,,,Stayed the same,Slightly decreased,,,,,Slightly increased,,,,Stayed the same,Slightly increased,Stayed the same,Slightly increased,,Austria,Banking and finance,Line of business employee,Dedicated BI and analytics unit,Yes,No,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,Less than 25,1.052631579,1 to less than 5%,dataspot.,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Retail/Wholesale,Business,Other,IBM Db2 Database,7.3,,,,,,,,,Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,Disaster recovery concepts,Integration into existing IT operations,Convincing performance,Available know-how in the company,,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,,Range of available functions,,,,2800,60,5,2,In several divisions,Data Warehousing/BI,,,,,Query Engine,,,Data Preparation for Business Users,Data Virtualization,,,,Master/Reference Data Management,,,,,,,,,,Organizational issues,Tool does not scale,,Customization of tool is limited,,,Cannot process data adequately,,,Lack of use cases/quick-win scenarios,,,,,,,,,,,,,,,,,,,,,,Good,Satisfactory,Good,Good,Excellent,Good,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Maybe,Predominantly based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,,Germany,Retail / Wholesale / Trade,CIO/IT management,IT,Yes,,1,Europe,DACH,Retail/Wholesale,2501 – 10000,More than 2500,1501 - 6000,25 - 75,2.142857143,1 to less than 5%,Other,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Transport,Business,MS SQL Server,MS SQL Server,SQL SERVER 2016,,Extensibility of the solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,100,5,2,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,,,,,,,,,,,,,,,,,,,,,,Customization of tool is limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Good,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,,,,,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,,Germany,Transportation and logistics,CIO/IT management,IT,Yes,,1,Europe,DACH,Transport,100 - 250,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Other,Business,MS SQL Server,MS SQL Server,2019,,,,,,,,"Flexible, good licensing model/price",,,,,,,,,,,,,,,,,,,,,,5000,200,5,2,Company-wide,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,Data Storage/Data Provisioning,,,Data Integration,,,,,,Master/Reference Data Management,Self-Service Analytics,,,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Good,Satisfactory,Good,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Very satisfied,Probably,Half data-based and half based on gut feeling,,,Security & privacy,,,,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Other,Person responsible for BI from IT department,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Other,2501 – 10000,More than 2500,1501 - 6000,76 - 300,4,1 to less than 5%,MS SQL Server,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Public sector and Education,Business,MS SQL Server,MS SQL Server,SQL Server 2016,,,,,,,,,,,Integrated end-to-end platform,,,,Integration into existing IT operations,,Available know-how in the company,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,,,,,6500,200,6,2,Company-wide,Data Warehousing/BI,,,,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",Security & privacy,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Education,Data engineer/data manager,IT,Yes,,3,North America, ,Public sector and Education,2501 – 10000,More than 2500,More than 6000,76 - 300,3.076923077,1 to less than 5%,MS SQL Server,Business,Less than 25,Less than 25
Europe,France,More than 6000,Public sector and Education,Did not respond,Oracle Database,Oracle Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,7000,100,10,2,Company-wide,Data Warehousing/BI,,,,,,,Data Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Poor,Good,Excellent,Excellent,Good,Poor,Satisfactory,Very poor,Satisfactory,Poor,Good,Rather satisfied,Maybe,Half data-based and half based on gut feeling,,,Security & privacy,,,,Slightly increased,Strongly increased,Stayed the same,Slightly decreased,Slightly decreased,Stayed the same,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Slightly increased,Slightly decreased,Stayed the same,Slightly decreased,Stayed the same,Slightly decreased,Stayed the same,,France,Education,Business analyst,Dedicated BI and analytics unit,No,,1,Europe,France,Public sector and Education,2501 – 10000,More than 2500,More than 6000,76 - 300,1.428571429,1 to less than 5%,Oracle Database,,Less than 25,Less than 25
Europe,Germany,Less than 150,IT,Business,AnalyticsCreator,AnalyticsCreator,3.2.0.306,,Extensibility of the solution,Openness,,,,,,,,,,,,,,,Reusability/metadata-driven development,Integration into enterprise data processes,,,,Automation of data processes,,,,,,,60,,,3,,Data Warehousing/BI,,Data Lake,,,,,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Don't know / not available,Don't know / not available,Don't know / not available,Good,Good,Good,Excellent,Good,Don't know / not available,Excellent,Good,Good,Rather satisfied,Definitely,,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,Artificial intelligence & machine learning,,,,,,,,,,,,,,,,,,,,,Germany,IT,Data engineer/data manager,IT,0,No,1,Europe,DACH,IT,50 - 99,Less than 100,Less than 150,, ,,AnalyticsCreator,Business,,Less than 25
Europe,Germany,Less than 150,Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,Aktuelle,,Extensibility of the solution,Openness,,,,,,,,,Ease of use for business users,,,,,,,,,,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,,,,,15,3,0,3,In one division,,,,Data Governance,,,,Data Integration,,Data Virtualization,,,,,,,,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,,,,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Germany,Germany,Consulting,CEO/board member,,Yes,Yes,1,Europe,DACH,Services,Less than 50,Less than 100,Less than 150,Less than 25,20,15 to less than 20%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
Europe,Germany,Less than 150,Financial Services,Did not respond,Synabi D-QUANTUM,Synabi D-QUANTUM,aktuelle,,,,,,Local presence and good support,,,,Prebuilt content,Integrated end-to-end platform,,,,Integration into existing IT operations,,,Reusability/metadata-driven development,,,,,,,,,,,,120,8,0,3,For the implementation of a specific use case,,Advanced Analytics/Machine Learning/AI,,Data Governance,,,Data Pipelining,,,Data Virtualization,,,,Master/Reference Data Management,,,,,Data Catalog,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,,,,,,,,,,,,Automation does not meet expectations,,,,,,,,Don't know / not available,Good,Excellent,Good,Good,Satisfactory,Good,Good,Good,Poor,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,,,,Artificial intelligence & machine learning,Data culture,Business user enablement,Strongly increased,Slightly increased,,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,,Stayed the same,Stayed the same,,,,Stayed the same,,Germany,Germany,Banking and finance,External consultant,,No,No,1,Europe,DACH,Financial Services,100 - 250,100 - 2500,Less than 150,Less than 25,6.666666667,5 to less than 10%,Synabi D-QUANTUM,,Less than 25,Less than 25
Europe,Germany,Less than 150,Manufacturing,Did not respond,Talend DI,Talend DI,7.3,,Extensibility of the solution,Openness,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,,,,,,Available know-how in the company,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,,Quality of functions,,,20,3,1,3,For the implementation of a specific use case,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,,Data Pipelining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of usability,,,,,,,Problems with product updates,,,,,,,,,,,Good,Satisfactory,Don't know / not available,Satisfactory,Good,Good,Satisfactory,Satisfactory,Good,Good,Excellent,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,,,,,,,,,,,,,,,,,,Germany,Germany,Manufacturing,External consultant,,Yes,,1,Europe,DACH,Manufacturing,Less than 50,Less than 100,Less than 150,Less than 25,15,10 to less than 15%,Talend DI,,Less than 25,Less than 25
Europe,Germany,Less than 150,Manufacturing,Did not respond,Talend DI,Talend DI,7.3,,Extensibility of the solution,Openness,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,,,,,,Available know-how in the company,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,,Quality of functions,,,20,3,1,3,For the implementation of a specific use case,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,,Data Pipelining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of usability,,,,,,,Problems with product updates,,,,,,,,,,,Good,Satisfactory,Don't know / not available,Satisfactory,Good,Good,Satisfactory,Satisfactory,Good,Good,Excellent,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,,,,,,,,,,,,,,,,,,Germany,Germany,Manufacturing,External consultant,,Yes,,1,Europe,DACH,Manufacturing,Less than 50,Less than 100,Less than 150,Less than 25,15,10 to less than 15%,Talend DI,,Less than 25,Less than 25
Europe,Germany,Less than 150,Financial Services,Business,Amazon RedShift,Amazon RedShift,,Scalability,,,,,,,,,,,,Ease of use for technical users,,,,,,,,,,,,,,,,,30,3,1,3,In one division,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,,,,,,,,,,,,,,,,Lack of resources/budget,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Don't know / not available,Satisfactory,Good,Don't know / not available,Good,Don't know / not available,Don't know / not available,Good,Good,Good,Rather satisfied,Maybe,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,Data culture,,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Banking and finance,CEO/board member,Management,Yes,,1,Europe,DACH,Financial Services,Less than 50,Less than 100,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
Europe,Germany,Less than 150,Financial Services,Business,Amazon RedShift,Amazon RedShift,,Scalability,,,,,,,,,,,,Ease of use for technical users,,,,,,,,,,,,,,,,,30,3,1,3,In one division,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,,,,,,,,,,,,,,,,Lack of resources/budget,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Don't know / not available,Satisfactory,Good,Don't know / not available,Good,Don't know / not available,Don't know / not available,Good,Good,Good,Rather satisfied,Maybe,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,Data culture,,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Banking and finance,CEO/board member,Management,Yes,,1,Europe,DACH,Financial Services,Less than 50,Less than 100,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
Europe,Germany,Less than 150,Financial Services,Business,Amazon RedShift,Amazon RedShift,,Scalability,,,,,,,,,,,,Ease of use for technical users,,,,,,,,,,,,,,,,,30,3,1,3,In one division,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,,,,,,,,,,,,,,,,Lack of resources/budget,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Don't know / not available,Satisfactory,Good,Don't know / not available,Good,Don't know / not available,Don't know / not available,Good,Good,Good,Rather satisfied,Maybe,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,Data culture,,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Banking and finance,CEO/board member,Management,Yes,,1,Europe,DACH,Financial Services,Less than 50,Less than 100,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
Europe,Cyprus,Less than 150,IT,Business,AnalyticsCreator,AnalyticsCreator,3.2,,,Openness,,,,,"Flexible, good licensing model/price",,Prebuilt content,,,Ease of use for technical users,,,,,Reusability/metadata-driven development,,,,,Automation of data processes,,,,,,,7,4,1,3,In several divisions,Data Warehousing/BI,,Data Lake,Data Governance,,,,Data Integration,Data Preparation for Business Users,,Cloud Integration,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Satisfactory,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,,,,,Data culture,,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Strongly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Cyprus,Cyprus,IT,CEO/board member,,Yes,Yes,1,Europe,Southern Europe,IT,Less than 50,Less than 100,Less than 150,Less than 25,57.14285714,50 to less than 75%,AnalyticsCreator,Business,Less than 25,Less than 25
